title,priceText,condition,timeAgo,seller,hasBuyerProtection,img,id,href,scraped_at,price_numeric,price_flag,posted_hours_ago
Pikachu VMAX TG17/TG30 Pokemon Card,RM490,Like new,7 minutes ago,seller_0001,True,https://media.karousell.com/media/photos/products/2026/7/28/pikachu_vmax_tg17tg30_pokemon__1785247068_97b0fb5f_progressive_thumbnail.jpg,1452463324,https://www.carousell.com.my/p/pikachu-vmax-tg17-tg30-pokemon-card-1452463324/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=0,2026-07-28T22:04:56.572355,490.0,ok,0.12
2016 Darkrai 24 PSA 10 1st Ed. Japanese Pokemon Card,"RM4,200",Brand new,17 minutes ago,seller_0002,True,https://media.karousell.com/media/photos/products/2026/7/28/2016_darkrai_24_psa_10_1st_ed__1785246447_ca637458_progressive_thumbnail.jpg,1452461360,https://www.carousell.com.my/p/2016-darkrai-24-psa-10-1st-ed-japanese-pokemon-card-1452461360/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=1,2026-07-28T22:04:56.596044,4200.0,ok,0.28
Pokemon TCG Kleavor V 087/185 Card,RM2,Like new,22 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/pokemon_tcg_kleavor_v_087185_c_1785246166_12bf5274_progressive_thumbnail.jpg,1452460506,https://www.carousell.com.my/p/pokemon-tcg-kleavor-v-087-185-card-1452460506/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=2,2026-07-28T22:04:56.606892,2.0,ok,0.37
Pokemon Card Ursaluna V 102/195,RM2,Like new,23 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/pokemon_card_ursaluna_v_102195_1785246124_1f404b67_progressive_thumbnail.jpg,1452460373,https://www.carousell.com.my/p/pokemon-card-ursaluna-v-102-195-1452460373/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=3,2026-07-28T22:04:56.623002,2.0,ok,0.38
Pokemon Card Floragato 076/073 (JP) Triplet Beat Art Rare,RM22,Brand new,25 minutes ago,seller_0004,True,https://media.karousell.com/media/photos/products/2026/7/28/pokemon_card_floragato_076073__1785246020_e12de1df_progressive_thumbnail.jpg,1452460049,https://www.carousell.com.my/p/pokemon-card-floragato-076-073-jp-triplet-beat-art-rare-1452460049/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=5,2026-07-28T22:04:56.639030,22.0,ok,0.42
Giratina V 130/196 Pokemon Card,RM5,Like new,25 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/giratina_v_130196_pokemon_card_1785246018_fee9b934_progressive_thumbnail.jpg,1452460041,https://www.carousell.com.my/p/giratina-v-130-196-pokemon-card-1452460041/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=6,2026-07-28T22:04:56.653309,5.0,ok,0.42
Magnezone V 056/196 Basic Pokemon Card,RM2,Like new,25 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/magnezone_v_056196_basic_pokem_1785245980_4d730af5_progressive_thumbnail.jpg,1452459926,https://www.carousell.com.my/p/magnezone-v-056-196-basic-pokemon-card-1452459926/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=7,2026-07-28T22:04:56.668924,2.0,ok,0.42
Rotom V 058/196 Pokemon Card,RM2,Like new,26 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/rotom_v_058196_pokemon_card_1785245933_b544fcdf_progressive_thumbnail.jpg,1452459777,https://www.carousell.com.my/p/rotom-v-058-196-pokemon-card-1452459777/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=8,2026-07-28T22:04:56.682212,2.0,ok,0.43
Pokemon Scizor V 118/189 Card,RM5,Like new,27 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/pokemon_scizor_v_118189_card_1785245873_ce0e538c_progressive_thumbnail.jpg,1452459579,https://www.carousell.com.my/p/pokemon-scizor-v-118-189-card-1452459579/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=9,2026-07-28T22:04:56.696924,5.0,ok,0.45
Hisuian Goodra V 135/196 Pokemon Card,RM2,Like new,28 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/hisuian_goodra_v_135196_pokemo_1785245817_d57b008d_progressive_thumbnail.jpg,1452459406,https://www.carousell.com.my/p/hisuian-goodra-v-135-196-pokemon-card-1452459406/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=10,2026-07-28T22:04:56.707217,2.0,ok,0.47
Greedent V 120/159 Pokemon Card,RM2,Like new,30 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/greedent_v_120159_pokemon_card_1785245695_4d608599_progressive_thumbnail.jpg,1452459034,https://www.carousell.com.my/p/greedent-v-120-159-pokemon-card-1452459034/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=11,2026-07-28T22:04:56.715962,2.0,ok,0.5
Centiskorch V Pokemon Card TG14/TG30,RM10,Brand new,31 minutes ago,seller_0003,False,https://media.karousell.com/media/photos/products/2026/7/28/centiskorch_v_pokemon_card_tg1_1785245650_44983af4_progressive_thumbnail.jpg,1452458885,https://www.carousell.com.my/p/centiskorch-v-pokemon-card-tg14-tg30-1452458885/?t-id=b1yUZ4stIx_1785247484846&t-referrer_browse_type=search_results&t-referrer_context_ccid=181&t-referrer_filter_category=12&t-referrer_page_type=search&t-referrer_request_id=tlAOg86aS4wyD-y8&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=&t-tap_index=12,2026-07-28T22:04:56.724178,10.0,ok,0.52
